file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,extractColumnAsJson/1[io.airbyte.integrations.destination.postgres.typing_deduping.ColumnId],false,319,2,1,1,0,1,4,3,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,2,0,true
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,jsonBuildObject/1[io.airbyte.integrations.destination.postgres.typing_deduping.Field<?>[]],false,236,1,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors-performance\destination-harness\src\main\java\io\airbyte\integrations\destination_performance\PerformanceHarness.java,io.airbyte.integrations.destination_performance.PerformanceHarness,runTest/0,false,101,9,7,1,6,11,48,73,0,22,0,48,5,1,3,4,3,4,15,9,22,8,3,0,0,3,109,0,9,true
D:\objectoriented\airbyte\airbyte-integrations\connectors-performance\destination-harness\src\main\java\io\airbyte\integrations\destination_performance\PerformanceHarness.java,io.airbyte.integrations.destination_performance.PerformanceHarness,getAirbyteIntegrationLauncher/0,false,210,9,1,1,0,1,9,11,1,7,0,9,0,0,0,0,0,0,8,2,7,1,0,0,0,0,40,2,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors-performance\destination-harness\src\main\java\io\airbyte\integrations\destination_performance\PerformanceHarness.java,io.airbyte.integrations.destination_performance.PerformanceHarness,"convertProtocolObject/2[V1,java.lang.Class<V0>]",false,257,2,0,0,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors-performance\destination-harness\src\main\java\io\airbyte\integrations\destination_performance\PerformanceHarness.java,io.airbyte.integrations.destination_performance.PerformanceHarness,"PerformanceHarness/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,80,2,1,1,0,1,2,7,0,1,4,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors-performance\destination-harness\src\main\java\io\airbyte\integrations\destination_performance\PerformanceHarness.java,io.airbyte.integrations.destination_performance.PerformanceHarness,"computeThroughput/3[double,long,long]",false,202,0,1,1,0,1,2,7,0,4,3,2,0,0,0,0,0,1,1,1,4,5,0,0,0,0,18,2,1,false
D:\objectoriented\airbyte\airbyte-integrations\connectors-performance\destination-harness\src\main\java\io\airbyte\integrations\destination_performance\PerformanceHarness.java,io.airbyte.integrations.destination_performance.PerformanceHarness,loadFileFromUrl/0,false,243,0,1,1,0,1,11,13,1,6,0,11,0,0,0,0,0,0,4,1,6,0,0,0,0,0,25,2,2,false
D:\objectoriented\airbyte\airbyte-integrations\connectors-performance\destination-harness\src\main\java\io\airbyte\integrations\destination_performance\PerformanceHarness.java,io.airbyte.integrations.destination_performance.PerformanceHarness,"buildRecordString/2[java.util.List<java.lang.String>,java.util.List<java.lang.String>]",false,229,0,1,1,0,3,9,13,1,4,2,9,0,0,1,0,0,0,4,0,4,0,1,0,0,0,9,2,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors-performance\destination-harness\src\main\java\io\airbyte\integrations\destination_performance\PerformanceHarness.java,io.airbyte.integrations.destination_performance.PerformanceHarness,"getStreamName/2[java.util.List<java.lang.String>,java.util.Random]",false,198,1,2,2,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,false
